Country,State,State lgd code,Year,Gender,Age group,Type of area,Worker Population Ratio (WPR)_avg,Worker Population Ratio (WPR)_max,Worker Population Ratio (WPR)_min,Worker Population Ratio (WPR)_sum,Worker Population Ratio (WPR)_count,Worker Population Ratio (WPR)_stddev,Worker Population Ratio (WPR)_LandAreaWeight,Worker Population Ratio (WPR)_TotalPopulationWeight,Worker Population Ratio (WPR)_NumberOfHouseholdsWeight,Worker Population Ratio (WPR)_TotalPopulationMaleWeight,Worker Population Ratio (WPR)_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15-59,Urban,74.1,74.1,74.1,74.1,1,,,74.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15 years and above,Rural,73.8,73.8,73.8,73.8,1,,,73.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15 years and above,Total,72.7,72.7,72.7,72.7,1,,,72.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,15 years and above,Urban,68.8,68.8,68.8,68.8,1,,,68.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,all years,Rural,55.4,55.4,55.4,55.4,1,,,55.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,all years,Total,54.9,54.9,54.9,54.9,1,,,54.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Male,all years,Urban,53.2,53.2,53.2,53.2,1,,,53.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15-29,Rural,35.7,35.7,35.7,35.7,1,,35.7,35.7,35.7,35.7,35.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15-29,Total,34.7,34.7,34.7,34.7,1,,34.7,34.7,34.7,34.7,34.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15-29,Urban,30.9,30.9,30.9,30.9,1,,30.9,30.9,30.9,30.9,30.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15-59,Rural,54.5,54.5,54.5,54.5,1,,54.5,54.5,54.5,54.5,54.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15-59,Total,52.9,52.9,52.9,52.9,1,,52.9,52.9,52.9,52.9,52.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15-59,Urban,47.0,47.0,47.0,47.0,1,,47.0,47.0,47.0,47.0,47.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15 years and above,Rural,53.2,53.2,53.2,53.2,1,,53.2,53.2,53.2,53.2,53.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15 years and above,Total,51.0,51.0,51.0,51.0,1,,51.0,51.0,51.0,51.0,51.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,15 years and above,Urban,43.6,43.6,43.6,43.6,1,,43.6,43.6,43.6,43.6,43.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,all years,Rural,39.9,39.9,39.9,39.9,1,,39.9,39.9,39.9,39.9,39.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,all years,Total,38.6,38.6,38.6,38.6,1,,38.6,38.6,38.6,38.6,38.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2017",Persons,all years,Urban,34.0,34.0,34.0,34.0,1,,34.0,34.0,34.0,34.0,34.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Rural,25.8,25.8,25.8,25.8,1,,,25.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Total,23.0,23.0,23.0,23.0,1,,,23.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Urban,11.9,11.9,11.9,11.9,1,,,11.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Rural,37.2,37.2,37.2,37.2,1,,,37.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Total,32.9,32.9,32.9,32.9,1,,,32.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Urban,16.8,16.8,16.8,16.8,1,,,16.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Rural,35.3,35.3,35.3,35.3,1,,,35.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Total,30.8,30.8,30.8,30.8,1,,,30.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Urban,15.0,15.0,15.0,15.0,1,,,15.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,all years,Rural,27.5,27.5,27.5,27.5,1,,,27.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,all years,Total,24.2,24.2,24.2,24.2,1,,,24.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Female,all years,Urban,11.8,11.8,11.8,11.8,1,,,11.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Rural,53.5,53.5,53.5,53.5,1,,,53.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Total,51.0,51.0,51.0,51.0,1,,,51.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Urban,40.7,40.7,40.7,40.7,1,,,40.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Rural,77.8,77.8,77.8,77.8,1,,,77.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Total,76.9,76.9,76.9,76.9,1,,,76.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Urban,73.9,73.9,73.9,73.9,1,,,73.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Rural,75.7,75.7,75.7,75.7,1,,,75.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Total,74.0,74.0,74.0,74.0,1,,,74.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Urban,67.9,67.9,67.9,67.9,1,,,67.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,all years,Rural,56.8,56.8,56.8,56.8,1,,,56.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,all years,Total,56.0,56.0,56.0,56.0,1,,,56.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Male,all years,Urban,53.1,53.1,53.1,53.1,1,,,53.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Rural,40.4,40.4,40.4,40.4,1,,40.4,40.4,40.4,40.4,40.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Total,37.7,37.7,37.7,37.7,1,,37.7,37.7,37.7,37.7,37.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Urban,26.9,26.9,26.9,26.9,1,,26.9,26.9,26.9,26.9,26.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Rural,57.8,57.8,57.8,57.8,1,,57.8,57.8,57.8,57.8,57.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Total,55.3,55.3,55.3,55.3,1,,55.3,55.3,55.3,55.3,55.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Urban,46.0,46.0,46.0,46.0,1,,46.0,46.0,46.0,46.0,46.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Rural,56.0,56.0,56.0,56.0,1,,56.0,56.0,56.0,56.0,56.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Total,52.9,52.9,52.9,52.9,1,,52.9,52.9,52.9,52.9,52.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Urban,42.3,42.3,42.3,42.3,1,,42.3,42.3,42.3,42.3,42.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Rural,42.7,42.7,42.7,42.7,1,,42.7,42.7,42.7,42.7,42.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Total,40.7,40.7,40.7,40.7,1,,40.7,40.7,40.7,40.7,40.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Urban,33.2,33.2,33.2,33.2,1,,33.2,33.2,33.2,33.2,33.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Rural,23.9,23.9,23.9,23.9,1,,,23.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Total,22.4,22.4,22.4,22.4,1,,,22.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Urban,15.9,15.9,15.9,15.9,1,,,15.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Rural,39.6,39.6,39.6,39.6,1,,,39.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Total,35.9,35.9,35.9,35.9,1,,,35.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Urban,21.2,21.2,21.2,21.2,1,,,21.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Rural,36.8,36.8,36.8,36.8,1,,,36.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Total,33.1,33.1,33.1,33.1,1,,,33.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Urban,18.9,18.9,18.9,18.9,1,,,18.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,all years,Rural,27.7,27.7,27.7,27.7,1,,,27.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,all years,Total,25.2,25.2,25.2,25.2,1,,,25.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Female,all years,Urban,15.1,15.1,15.1,15.1,1,,,15.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15-29,Rural,45.8,45.8,45.8,45.8,1,,,45.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15-29,Total,45.5,45.5,45.5,45.5,1,,,45.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15-29,Urban,44.0,44.0,44.0,44.0,1,,,44.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15-59,Rural,73.8,73.8,73.8,73.8,1,,,73.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15-59,Total,73.8,73.8,73.8,73.8,1,,,73.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15-59,Urban,74.0,74.0,74.0,74.0,1,,,74.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15 years and above,Rural,71.7,71.7,71.7,71.7,1,,,71.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15 years and above,Total,71.2,71.2,71.2,71.2,1,,,71.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,15 years and above,Urban,68.9,68.9,68.9,68.9,1,,,68.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,all years,Rural,51.7,51.7,51.7,51.7,1,,,51.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,all years,Total,52.0,52.0,52.0,52.0,1,,,52.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Male,all years,Urban,52.9,52.9,52.9,52.9,1,,,52.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15-29,Rural,35.7,35.7,35.7,35.7,1,,35.7,35.7,35.7,35.7,35.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15-29,Total,34.7,34.7,34.7,34.7,1,,34.7,34.7,34.7,34.7,34.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15-29,Urban,30.7,30.7,30.7,30.7,1,,30.7,30.7,30.7,30.7,30.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15-59,Rural,57.0,57.0,57.0,57.0,1,,57.0,57.0,57.0,57.0,57.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15-59,Total,55.1,55.1,55.1,55.1,1,,55.1,55.1,55.1,55.1,55.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15-59,Urban,47.8,47.8,47.8,47.8,1,,47.8,47.8,47.8,47.8,47.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15 years and above,Rural,54.7,54.7,54.7,54.7,1,,54.7,54.7,54.7,54.7,54.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15 years and above,Total,52.5,52.5,52.5,52.5,1,,52.5,52.5,52.5,52.5,52.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,15 years and above,Urban,44.2,44.2,44.2,44.2,1,,44.2,44.2,44.2,44.2,44.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,all years,Rural,40.3,40.3,40.3,40.3,1,,40.3,40.3,40.3,40.3,40.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,all years,Total,39.2,39.2,39.2,39.2,1,,39.2,39.2,39.2,39.2,39.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Persons,all years,Urban,34.6,34.6,34.6,34.6,1,,34.6,34.6,34.6,34.6,34.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15-29,Rural,25.3,25.3,25.3,25.3,1,,,25.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15-29,Total,22.7,22.7,22.7,22.7,1,,,22.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15-29,Urban,11.3,11.3,11.3,11.3,1,,,11.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15-59,Rural,47.8,47.8,47.8,47.8,1,,,47.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15-59,Total,42.9,42.9,42.9,42.9,1,,,42.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15-59,Urban,23.2,23.2,23.2,23.2,1,,,23.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15 years and above,Rural,45.0,45.0,45.0,45.0,1,,,45.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15 years and above,Total,39.9,39.9,39.9,39.9,1,,,39.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,15 years and above,Urban,20.6,20.6,20.6,20.6,1,,,20.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,all years,Rural,33.4,33.4,33.4,33.4,1,,,33.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,all years,Total,30.2,30.2,30.2,30.2,1,,,30.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Female,all years,Urban,16.9,16.9,16.9,16.9,1,,,16.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15-29,Rural,44.5,44.5,44.5,44.5,1,,,44.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15-29,Total,43.1,43.1,43.1,43.1,1,,,43.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15-29,Urban,37.4,37.4,37.4,37.4,1,,,37.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15-59,Rural,74.0,74.0,74.0,74.0,1,,,74.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15-59,Total,73.5,73.5,73.5,73.5,1,,,73.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15-59,Urban,71.5,71.5,71.5,71.5,1,,,71.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15 years and above,Rural,71.6,71.6,71.6,71.6,1,,,71.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15 years and above,Total,70.5,70.5,70.5,70.5,1,,,70.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,15 years and above,Urban,66.4,66.4,66.4,66.4,1,,,66.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,all years,Rural,53.3,53.3,53.3,53.3,1,,,53.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,all years,Total,53.2,53.2,53.2,53.2,1,,,53.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Male,all years,Urban,52.6,52.6,52.6,52.6,1,,,52.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15-29,Rural,35.3,35.3,35.3,35.3,1,,35.3,35.3,35.3,35.3,35.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15-29,Total,33.4,33.4,33.4,33.4,1,,33.4,33.4,33.4,33.4,33.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15-29,Urban,25.3,25.3,25.3,25.3,1,,25.3,25.3,25.3,25.3,25.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15-59,Rural,61.0,61.0,61.0,61.0,1,,61.0,61.0,61.0,61.0,61.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15-59,Total,58.4,58.4,58.4,58.4,1,,58.4,58.4,58.4,58.4,58.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15-59,Urban,48.0,48.0,48.0,48.0,1,,48.0,48.0,48.0,48.0,48.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15 years and above,Rural,58.6,58.6,58.6,58.6,1,,58.6,58.6,58.6,58.6,58.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15 years and above,Total,55.5,55.5,55.5,55.5,1,,55.5,55.5,55.5,55.5,55.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,15 years and above,Urban,44.1,44.1,44.1,44.1,1,,44.1,44.1,44.1,44.1,44.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,all years,Rural,43.5,43.5,43.5,43.5,1,,43.5,43.5,43.5,43.5,43.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,all years,Total,42.0,42.0,42.0,42.0,1,,42.0,42.0,42.0,42.0,42.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",Persons,all years,Urban,35.5,35.5,35.5,35.5,1,,35.5,35.5,35.5,35.5,35.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15-29,Rural,29.3,29.3,29.3,29.3,1,,,29.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15-29,Total,27.6,27.6,27.6,27.6,1,,,27.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15-29,Urban,20.2,20.2,20.2,20.2,1,,,20.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Rural,48.3,48.3,48.3,48.3,1,,,48.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Total,43.7,43.7,43.7,43.7,1,,,43.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Urban,25.0,25.0,25.0,25.0,1,,,25.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Rural,45.7,45.7,45.7,45.7,1,,,45.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Total,41.1,41.1,41.1,41.1,1,,,41.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Urban,22.5,22.5,22.5,22.5,1,,,22.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,all years,Rural,34.4,34.4,34.4,34.4,1,,,34.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,all years,Total,31.2,31.2,31.2,31.2,1,,,31.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Female,all years,Urban,17.7,17.7,17.7,17.7,1,,,17.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Rural,54.6,54.6,54.6,54.6,1,,,54.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Total,52.1,52.1,52.1,52.1,1,,,52.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Urban,42.0,42.0,42.0,42.0,1,,,42.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Rural,79.2,79.2,79.2,79.2,1,,,79.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Total,77.9,77.9,77.9,77.9,1,,,77.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Urban,72.6,72.6,72.6,72.6,1,,,72.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Rural,76.4,76.4,76.4,76.4,1,,,76.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Total,74.5,74.5,74.5,74.5,1,,,74.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Urban,66.7,66.7,66.7,66.7,1,,,66.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,all years,Rural,56.6,56.6,56.6,56.6,1,,,56.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,all years,Total,55.9,55.9,55.9,55.9,1,,,55.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Male,all years,Urban,53.0,53.0,53.0,53.0,1,,,53.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Rural,42.2,42.2,42.2,42.2,1,,42.2,42.2,42.2,42.2,42.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Total,40.2,40.2,40.2,40.2,1,,40.2,40.2,40.2,40.2,40.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Urban,31.8,31.8,31.8,31.8,1,,31.8,31.8,31.8,31.8,31.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Rural,64.0,64.0,64.0,64.0,1,,64.0,64.0,64.0,64.0,64.0
