Country,State,State lgd code,Year,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Self-Employed helper in hoursehold enterprise,19.7,19.7,19.7,19.7,1,,19.7,19.7,19.7,19.7,19.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Female,"Self-Employed own account worker, employer",25.6,25.6,25.6,25.6,1,,25.6,25.6,25.6,25.6,25.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Male,All self employed,48.7,48.7,48.7,48.7,1,,48.7,48.7,48.7,48.7,48.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Casual labour,8.8,8.8,8.8,8.8,1,,8.8,8.8,8.8,8.8,8.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Regular wage/salary,42.4,42.4,42.4,42.4,1,,42.4,42.4,42.4,42.4,42.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Self-Employed helper in hoursehold enterprise,4.6,4.6,4.6,4.6,1,,4.6,4.6,4.6,4.6,4.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Male,"Self-Employed own account worker, employer",44.1,44.1,44.1,44.1,1,,44.1,44.1,44.1,44.1,44.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,All self employed,48.1,48.1,48.1,48.1,1,,48.1,48.1,48.1,48.1,48.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Casual labour,7.7,7.7,7.7,7.7,1,,7.7,7.7,7.7,7.7,7.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Regular wage/salary,44.2,44.2,44.2,44.2,1,,44.2,44.2,44.2,44.2,44.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Self-Employed helper in hoursehold enterprise,7.2,7.2,7.2,7.2,1,,7.2,7.2,7.2,7.2,7.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Female,All self employed,88.6,88.6,88.6,88.6,1,,88.6,88.6,88.6,88.6,88.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Casual labour,0.5,0.5,0.5,0.5,1,,0.5,0.5,0.5,0.5,0.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Regular wage/salary,10.9,10.9,10.9,10.9,1,,10.9,10.9,10.9,10.9,10.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Self-Employed helper in hoursehold enterprise,50.9,50.9,50.9,50.9,1,,50.9,50.9,50.9,50.9,50.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Female,"Self-Employed own account worker, employer",37.6,37.6,37.6,37.6,1,,37.6,37.6,37.6,37.6,37.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Male,All self employed,48.0,48.0,48.0,48.0,1,,48.0,48.0,48.0,48.0,48.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Casual labour,23.8,23.8,23.8,23.8,1,,23.8,23.8,23.8,23.8,23.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Regular wage/salary,28.1,28.1,28.1,28.1,1,,28.1,28.1,28.1,28.1,28.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Self-Employed helper in hoursehold enterprise,6.3,6.3,6.3,6.3,1,,6.3,6.3,6.3,6.3,6.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Male,"Self-Employed own account worker, employer",41.7,41.7,41.7,41.7,1,,41.7,41.7,41.7,41.7,41.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,All self employed,61.4,61.4,61.4,61.4,1,,61.4,61.4,61.4,61.4,61.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Casual labour,16.2,16.2,16.2,16.2,1,,16.2,16.2,16.2,16.2,16.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Regular wage/salary,22.5,22.5,22.5,22.5,1,,22.5,22.5,22.5,22.5,22.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Self-Employed helper in hoursehold enterprise,21.0,21.0,21.0,21.0,1,,21.0,21.0,21.0,21.0,21.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,"Self-Employed own account worker, employer",40.4,40.4,40.4,40.4,1,,40.4,40.4,40.4,40.4,40.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,All self employed,83.2,83.2,83.2,83.2,1,,83.2,83.2,83.2,83.2,83.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Casual labour,1.2,1.2,1.2,1.2,1,,1.2,1.2,1.2,1.2,1.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Regular wage/salary,15.6,15.6,15.6,15.6,1,,15.6,15.6,15.6,15.6,15.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,46.3,46.3,46.3,46.3,1,,46.3,46.3,46.3,46.3,46.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,"Self-Employed own account worker, employer",36.9,36.9,36.9,36.9,1,,36.9,36.9,36.9,36.9,36.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,All self employed,48.0,48.0,48.0,48.0,1,,48.0,48.0,48.0,48.0,48.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Casual labour,21.4,21.4,21.4,21.4,1,,21.4,21.4,21.4,21.4,21.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Regular wage/salary,30.6,30.6,30.6,30.6,1,,30.6,30.6,30.6,30.6,30.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,6.2,6.2,6.2,6.2,1,,6.2,6.2,6.2,6.2,6.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,"Self-Employed own account worker, employer",41.8,41.8,41.8,41.8,1,,41.8,41.8,41.8,41.8,41.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,All self employed,58.8,58.8,58.8,58.8,1,,58.8,58.8,58.8,58.8,58.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Casual labour,15.2,15.2,15.2,15.2,1,,15.2,15.2,15.2,15.2,15.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Regular wage/salary,26.0,26.0,26.0,26.0,1,,26.0,26.0,26.0,26.0,26.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,18.5,18.5,18.5,18.5,1,,18.5,18.5,18.5,18.5,18.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,"Self-Employed own account worker, employer",40.3,40.3,40.3,40.3,1,,40.3,40.3,40.3,40.3,40.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Urban,Female,All self employed,43.9,43.9,43.9,43.9,1,,43.9,43.9,43.9,43.9,43.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Casual labour,5.8,5.8,5.8,5.8,1,,5.8,5.8,5.8,5.8,5.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Regular wage/salary,50.3,50.3,50.3,50.3,1,,50.3,50.3,50.3,50.3,50.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Self-Employed helper in hoursehold enterprise,12.2,12.2,12.2,12.2,1,,12.2,12.2,12.2,12.2,12.2
