Country,State,State lgd code,Year,Gender,Age group,Type of area,Labour Force Participation Rate (LFPR)_avg,Labour Force Participation Rate (LFPR)_max,Labour Force Participation Rate (LFPR)_min,Labour Force Participation Rate (LFPR)_sum,Labour Force Participation Rate (LFPR)_count,Labour Force Participation Rate (LFPR)_stddev,Labour Force Participation Rate (LFPR)_LandAreaWeight,Labour Force Participation Rate (LFPR)_TotalPopulationWeight,Labour Force Participation Rate (LFPR)_NumberOfHouseholdsWeight,Labour Force Participation Rate (LFPR)_TotalPopulationMaleWeight,Labour Force Participation Rate (LFPR)_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15-29,rural,45.1,45.1,45.1,45.1,1,,45.1,45.1,45.1,45.1,45.1
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15-29,rural + urban,43.7,43.7,43.7,43.7,1,,43.7,43.7,43.7,43.7,43.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15-29,urban,38.2,38.2,38.2,38.2,1,,38.2,38.2,38.2,38.2,38.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15-59,rural,60.4,60.4,60.4,60.4,1,,60.4,60.4,60.4,60.4,60.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15-59,rural + urban,58.5,58.5,58.5,58.5,1,,58.5,58.5,58.5,58.5,58.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15-59,urban,51.6,51.6,51.6,51.6,1,,51.6,51.6,51.6,51.6,51.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15 years and above,rural,58.3,58.3,58.3,58.3,1,,58.3,58.3,58.3,58.3,58.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15 years and above,rural + urban,55.8,55.8,55.8,55.8,1,,55.8,55.8,55.8,55.8,55.8
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,15 years and above,urban,47.0,47.0,47.0,47.0,1,,47.0,47.0,47.0,47.0,47.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,All Ages,rural,44.4,44.4,44.4,44.4,1,,44.4,44.4,44.4,44.4,44.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,All Ages,rural + urban,42.9,42.9,42.9,42.9,1,,42.9,42.9,42.9,42.9,42.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2018",person,All Ages,urban,37.0,37.0,37.0,37.0,1,,37.0,37.0,37.0,37.0,37.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15-29,rural,31.1,31.1,31.1,31.1,1,,,31.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15-29,rural + urban,31.1,31.1,31.1,31.1,1,,,31.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15-29,urban,31.0,31.0,31.0,31.0,1,,,31.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15-59,rural,43.4,43.4,43.4,43.4,1,,,43.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15-59,rural + urban,40.8,40.8,40.8,40.8,1,,,40.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15-59,urban,30.7,30.7,30.7,30.7,1,,,30.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15 years and above,rural,40.2,40.2,40.2,40.2,1,,,40.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15 years and above,rural + urban,37.4,37.4,37.4,37.4,1,,,37.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,15 years and above,urban,27.0,27.0,27.0,27.0,1,,,27.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,All Ages,rural,30.3,30.3,30.3,30.3,1,,,30.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,All Ages,rural + urban,28.5,28.5,28.5,28.5,1,,,28.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",female,All Ages,urban,21.6,21.6,21.6,21.6,1,,,21.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15-29,rural,51.7,51.7,51.7,51.7,1,,,51.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15-29,rural + urban,52.4,52.4,52.4,52.4,1,,,52.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15-29,urban,55.5,55.5,55.5,55.5,1,,,55.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15-59,rural,76.8,76.8,76.8,76.8,1,,,76.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15-59,rural + urban,77.5,77.5,77.5,77.5,1,,,77.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15-59,urban,80.3,80.3,80.3,80.3,1,,,80.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15 years and above,rural,74.3,74.3,74.3,74.3,1,,,74.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15 years and above,rural + urban,74.3,74.3,74.3,74.3,1,,,74.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,15 years and above,urban,74.2,74.2,74.2,74.2,1,,,74.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,All Ages,rural,53.6,53.6,53.6,53.6,1,,,53.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,All Ages,rural + urban,54.3,54.3,54.3,54.3,1,,,54.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",male,All Ages,urban,57.0,57.0,57.0,57.0,1,,,57.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15-29,rural,42.2,42.2,42.2,42.2,1,,42.2,42.2,42.2,42.2,42.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15-29,rural + urban,42.5,42.5,42.5,42.5,1,,42.5,42.5,42.5,42.5,42.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15-29,urban,43.9,43.9,43.9,43.9,1,,43.9,43.9,43.9,43.9,43.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15-59,rural,60.4,60.4,60.4,60.4,1,,60.4,60.4,60.4,60.4,60.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15-59,rural + urban,59.4,59.4,59.4,59.4,1,,59.4,59.4,59.4,59.4,59.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15-59,urban,55.6,55.6,55.6,55.6,1,,55.6,55.6,55.6,55.6,55.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15 years and above,rural,57.7,57.7,57.7,57.7,1,,57.7,57.7,57.7,57.7,57.7
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15 years and above,rural + urban,56.3,56.3,56.3,56.3,1,,56.3,56.3,56.3,56.3,56.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,15 years and above,urban,50.9,50.9,50.9,50.9,1,,50.9,50.9,50.9,50.9,50.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,All Ages,rural,42.5,42.5,42.5,42.5,1,,42.5,42.5,42.5,42.5,42.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,All Ages,rural + urban,42.0,42.0,42.0,42.0,1,,42.0,42.0,42.0,42.0,42.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2019",person,All Ages,urban,39.9,39.9,39.9,39.9,1,,39.9,39.9,39.9,39.9,39.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15-29,rural,30.5,30.5,30.5,30.5,1,,,30.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15-29,rural + urban,29.3,29.3,29.3,29.3,1,,,29.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15-29,urban,24.1,24.1,24.1,24.1,1,,,24.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15-59,rural,50.8,50.8,50.8,50.8,1,,,50.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15-59,rural + urban,46.8,46.8,46.8,46.8,1,,,46.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15-59,urban,31.0,31.0,31.0,31.0,1,,,31.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15 years and above,rural,47.6,47.6,47.6,47.6,1,,,47.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15 years and above,rural + urban,43.4,43.4,43.4,43.4,1,,,43.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,15 years and above,urban,27.3,27.3,27.3,27.3,1,,,27.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,All Ages,rural,35.3,35.3,35.3,35.3,1,,,35.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,All Ages,rural + urban,32.8,32.8,32.8,32.8,1,,,32.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",female,All Ages,urban,22.3,22.3,22.3,22.3,1,,,22.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15-29,rural,50.7,50.7,50.7,50.7,1,,,50.7,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15-29,rural + urban,51.4,51.4,51.4,51.4,1,,,51.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15-29,urban,54.3,54.3,54.3,54.3,1,,,54.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15-59,rural,76.9,76.9,76.9,76.9,1,,,76.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15-59,rural + urban,77.5,77.5,77.5,77.5,1,,,77.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15-59,urban,79.5,79.5,79.5,79.5,1,,,79.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15 years and above,rural,74.2,74.2,74.2,74.2,1,,,74.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15 years and above,rural + urban,74.0,74.0,74.0,74.0,1,,,74.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,15 years and above,urban,73.3,73.3,73.3,73.3,1,,,73.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,All Ages,rural,55.3,55.3,55.3,55.3,1,,,55.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,All Ages,rural + urban,55.8,55.8,55.8,55.8,1,,,55.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",male,All Ages,urban,58.0,58.0,58.0,58.0,1,,,58.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15-29,rural,41.0,41.0,41.0,41.0,1,,41.0,41.0,41.0,41.0,41.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15-29,rural + urban,40.9,40.9,40.9,40.9,1,,40.9,40.9,40.9,40.9,40.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15-29,urban,40.4,40.4,40.4,40.4,1,,40.4,40.4,40.4,40.4,40.4
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15-59,rural,64.0,64.0,64.0,64.0,1,,64.0,64.0,64.0,64.0,64.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15-59,rural + urban,62.3,62.3,62.3,62.3,1,,62.3,62.3,62.3,62.3,62.3
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15-59,urban,55.9,55.9,55.9,55.9,1,,55.9,55.9,55.9,55.9,55.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15 years and above,rural,61.2,61.2,61.2,61.2,1,,61.2,61.2,61.2,61.2,61.2
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15 years and above,rural + urban,59.0,59.0,59.0,59.0,1,,59.0,59.0,59.0,59.0,59.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,15 years and above,urban,50.9,50.9,50.9,50.9,1,,50.9,50.9,50.9,50.9,50.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,All Ages,rural,45.5,45.5,45.5,45.5,1,,45.5,45.5,45.5,45.5,45.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,All Ages,rural + urban,44.6,44.6,44.6,44.6,1,,44.6,44.6,44.6,44.6,44.6
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2020",person,All Ages,urban,40.9,40.9,40.9,40.9,1,,40.9,40.9,40.9,40.9,40.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15-29,rural,35.2,35.2,35.2,35.2,1,,,35.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15-29,rural + urban,34.9,34.9,34.9,34.9,1,,,34.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15-29,urban,33.5,33.5,33.5,33.5,1,,,33.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15-59,rural,51.5,51.5,51.5,51.5,1,,,51.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15-59,rural + urban,48.1,48.1,48.1,48.1,1,,,48.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15-59,urban,34.0,34.0,34.0,34.0,1,,,34.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15 years and above,rural,48.5,48.5,48.5,48.5,1,,,48.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15 years and above,rural + urban,44.9,44.9,44.9,44.9,1,,,44.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,15 years and above,urban,30.4,30.4,30.4,30.4,1,,,30.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,All Ages,rural,36.6,36.6,36.6,36.6,1,,,36.6,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,All Ages,rural + urban,34.1,34.1,34.1,34.1,1,,,34.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",female,All Ages,urban,23.9,23.9,23.9,23.9,1,,,23.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15-29,rural,59.4,59.4,59.4,59.4,1,,,59.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15-29,rural + urban,58.5,58.5,58.5,58.5,1,,,58.5,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15-29,urban,54.8,54.8,54.8,54.8,1,,,54.8,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15-59,rural,81.3,81.3,81.3,81.3,1,,,81.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15-59,rural + urban,80.9,80.9,80.9,80.9,1,,,80.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15-59,urban,79.2,79.2,79.2,79.2,1,,,79.2,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15 years and above,rural,78.3,78.3,78.3,78.3,1,,,78.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15 years and above,rural + urban,77.1,77.1,77.1,77.1,1,,,77.1,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,15 years and above,urban,72.3,72.3,72.3,72.3,1,,,72.3,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,All Ages,rural,58.0,58.0,58.0,58.0,1,,,58.0,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,All Ages,rural + urban,57.9,57.9,57.9,57.9,1,,,57.9,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",male,All Ages,urban,57.4,57.4,57.4,57.4,1,,,57.4,,,
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",person,15-29,rural,47.5,47.5,47.5,47.5,1,,47.5,47.5,47.5,47.5,47.5
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",person,15-29,rural + urban,47.0,47.0,47.0,47.0,1,,47.0,47.0,47.0,47.0,47.0
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",person,15-29,urban,44.9,44.9,44.9,44.9,1,,44.9,44.9,44.9,44.9,44.9
India,Jammu And Kashmir,1,"Agriculture Year (Jul - Jun), 2021",person,15-59,rural,66.7,66.7,66.7,66.7,1,,66.7,66.7,66.7,66.7,66.7
