Country,Year,Type of industry of work,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Persons,Regular wage/salary,1.1,1.1,1.1,1.1,1,,1.1,1.1,1.1,1.1,1.1
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Persons,Self-Employed helper in hoursehold enterprise,25.7,25.7,25.7,25.7,1,,25.7,25.7,25.7,25.7,25.7
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural,Persons,"Self-Employed own account worker, employer",47.8,47.8,47.8,47.8,1,,47.8,47.8,47.8,47.8,47.8
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Female,All self employed,64.5,64.5,64.5,64.5,1,,64.5,64.5,64.5,64.5,64.5
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Female,Casual labour,34.2,34.2,34.2,34.2,1,,34.2,34.2,34.2,34.2,34.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Female,Regular wage/salary,1.3,1.3,1.3,1.3,1,,1.3,1.3,1.3,1.3,1.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,48.0,48.0,48.0,48.0,1,,48.0,48.0,48.0,48.0,48.0
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Female,"Self-Employed own account worker, employer",16.5,16.5,16.5,16.5,1,,16.5,16.5,16.5,16.5,16.5
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Male,All self employed,77.0,77.0,77.0,77.0,1,,77.0,77.0,77.0,77.0,77.0
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Male,Casual labour,21.8,21.8,21.8,21.8,1,,21.8,21.8,21.8,21.8,21.8
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Male,Regular wage/salary,1.2,1.2,1.2,1.2,1,,1.2,1.2,1.2,1.2,1.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,15.6,15.6,15.6,15.6,1,,15.6,15.6,15.6,15.6,15.6
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Male,"Self-Employed own account worker, employer",61.3,61.3,61.3,61.3,1,,61.3,61.3,61.3,61.3,61.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Persons,All self employed,73.2,73.2,73.2,73.2,1,,73.2,73.2,73.2,73.2,73.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Persons,Casual labour,25.5,25.5,25.5,25.5,1,,25.5,25.5,25.5,25.5,25.5
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Persons,Regular wage/salary,1.2,1.2,1.2,1.2,1,,1.2,1.2,1.2,1.2,1.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,25.3,25.3,25.3,25.3,1,,25.3,25.3,25.3,25.3,25.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Rural+Urban,Persons,"Self-Employed own account worker, employer",47.9,47.9,47.9,47.9,1,,47.9,47.9,47.9,47.9,47.9
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Female,All self employed,53.2,53.2,53.2,53.2,1,,53.2,53.2,53.2,53.2,53.2
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Female,Casual labour,44.6,44.6,44.6,44.6,1,,44.6,44.6,44.6,44.6,44.6
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Female,Regular wage/salary,2.3,2.3,2.3,2.3,1,,2.3,2.3,2.3,2.3,2.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Female,Self-Employed helper in hoursehold enterprise,30.8,30.8,30.8,30.8,1,,30.8,30.8,30.8,30.8,30.8
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Female,"Self-Employed own account worker, employer",22.4,22.4,22.4,22.4,1,,22.4,22.4,22.4,22.4,22.4
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Male,All self employed,71.0,71.0,71.0,71.0,1,,71.0,71.0,71.0,71.0,71.0
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Male,Casual labour,23.6,23.6,23.6,23.6,1,,23.6,23.6,23.6,23.6,23.6
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Male,Regular wage/salary,5.3,5.3,5.3,5.3,1,,5.3,5.3,5.3,5.3,5.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Male,Self-Employed helper in hoursehold enterprise,9.3,9.3,9.3,9.3,1,,9.3,9.3,9.3,9.3,9.3
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Male,"Self-Employed own account worker, employer",61.8,61.8,61.8,61.8,1,,61.8,61.8,61.8,61.8,61.8
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Persons,All self employed,65.6,65.6,65.6,65.6,1,,65.6,65.6,65.6,65.6,65.6
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Persons,Casual labour,30.0,30.0,30.0,30.0,1,,30.0,30.0,30.0,30.0,30.0
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Persons,Regular wage/salary,4.4,4.4,4.4,4.4,1,,4.4,4.4,4.4,4.4,4.4
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Persons,Self-Employed helper in hoursehold enterprise,15.8,15.8,15.8,15.8,1,,15.8,15.8,15.8,15.8,15.8
India,"Agriculture Year (Jul - Jun), 2017",01-03 (agriculture),Urban,Persons,"Self-Employed own account worker, employer",49.8,49.8,49.8,49.8,1,,49.8,49.8,49.8,49.8,49.8
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Female,All self employed,2.1,2.1,2.1,2.1,1,,2.1,2.1,2.1,2.1,2.1
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Female,Casual labour,82.3,82.3,82.3,82.3,1,,82.3,82.3,82.3,82.3,82.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Female,Regular wage/salary,15.6,15.6,15.6,15.6,1,,15.6,15.6,15.6,15.6,15.6
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Female,Self-Employed helper in hoursehold enterprise,0.2,0.2,0.2,0.2,1,,0.2,0.2,0.2,0.2,0.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Female,"Self-Employed own account worker, employer",1.9,1.9,1.9,1.9,1,,1.9,1.9,1.9,1.9,1.9
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Male,All self employed,6.4,6.4,6.4,6.4,1,,6.4,6.4,6.4,6.4,6.4
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Male,Casual labour,54.2,54.2,54.2,54.2,1,,54.2,54.2,54.2,54.2,54.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Male,Regular wage/salary,39.3,39.3,39.3,39.3,1,,39.3,39.3,39.3,39.3,39.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Male,Self-Employed helper in hoursehold enterprise,1.3,1.3,1.3,1.3,1,,1.3,1.3,1.3,1.3,1.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Male,"Self-Employed own account worker, employer",5.2,5.2,5.2,5.2,1,,5.2,5.2,5.2,5.2,5.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Persons,All self employed,6.0,6.0,6.0,6.0,1,,6.0,6.0,6.0,6.0,6.0
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Persons,Casual labour,57.3,57.3,57.3,57.3,1,,57.3,57.3,57.3,57.3,57.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Persons,Regular wage/salary,36.8,36.8,36.8,36.8,1,,36.8,36.8,36.8,36.8,36.8
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Persons,Self-Employed helper in hoursehold enterprise,1.1,1.1,1.1,1.1,1,,1.1,1.1,1.1,1.1,1.1
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural,Persons,"Self-Employed own account worker, employer",4.8,4.8,4.8,4.8,1,,4.8,4.8,4.8,4.8,4.8
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Female,All self employed,1.8,1.8,1.8,1.8,1,,1.8,1.8,1.8,1.8,1.8
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Female,Casual labour,65.9,65.9,65.9,65.9,1,,65.9,65.9,65.9,65.9,65.9
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Female,Regular wage/salary,32.3,32.3,32.3,32.3,1,,32.3,32.3,32.3,32.3,32.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,0.3,0.3,0.3,0.3,1,,0.3,0.3,0.3,0.3,0.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Female,"Self-Employed own account worker, employer",1.5,1.5,1.5,1.5,1,,1.5,1.5,1.5,1.5,1.5
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Male,All self employed,8.2,8.2,8.2,8.2,1,,8.2,8.2,8.2,8.2,8.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Male,Casual labour,40.6,40.6,40.6,40.6,1,,40.6,40.6,40.6,40.6,40.6
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Male,Regular wage/salary,51.2,51.2,51.2,51.2,1,,51.2,51.2,51.2,51.2,51.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,1.8,1.8,1.8,1.8,1,,1.8,1.8,1.8,1.8,1.8
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Male,"Self-Employed own account worker, employer",6.4,6.4,6.4,6.4,1,,6.4,6.4,6.4,6.4,6.4
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Persons,All self employed,7.6,7.6,7.6,7.6,1,,7.6,7.6,7.6,7.6,7.6
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Persons,Casual labour,43.0,43.0,43.0,43.0,1,,43.0,43.0,43.0,43.0,43.0
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Persons,Regular wage/salary,49.5,49.5,49.5,49.5,1,,49.5,49.5,49.5,49.5,49.5
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,1.7,1.7,1.7,1.7,1,,1.7,1.7,1.7,1.7,1.7
India,"Agriculture Year (Jul - Jun), 2017",35-39 (electricity and water supply),Urban,Male,Regular wage/salary,78.0,78.0,78.0,78.0,1,,78.0,78.0,78.0,78.0,78.0
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Rural+Urban,Persons,"Self-Employed own account worker, employer",5.9,5.9,5.9,5.9,1,,5.9,5.9,5.9,5.9,5.9
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Female,All self employed,0.7,0.7,0.7,0.7,1,,0.7,0.7,0.7,0.7,0.7
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Female,Casual labour,10.0,10.0,10.0,10.0,1,,10.0,10.0,10.0,10.0,10.0
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Female,Regular wage/salary,89.3,89.3,89.3,89.3,1,,89.3,89.3,89.3,89.3,89.3
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Female,Self-Employed helper in hoursehold enterprise,0.4,0.4,0.4,0.4,1,,0.4,0.4,0.4,0.4,0.4
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Female,"Self-Employed own account worker, employer",0.4,0.4,0.4,0.4,1,,0.4,0.4,0.4,0.4,0.4
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Male,All self employed,11.6,11.6,11.6,11.6,1,,11.6,11.6,11.6,11.6,11.6
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Male,Casual labour,14.2,14.2,14.2,14.2,1,,14.2,14.2,14.2,14.2,14.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Male,Regular wage/salary,74.2,74.2,74.2,74.2,1,,74.2,74.2,74.2,74.2,74.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Male,Self-Employed helper in hoursehold enterprise,2.9,2.9,2.9,2.9,1,,2.9,2.9,2.9,2.9,2.9
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Male,"Self-Employed own account worker, employer",8.7,8.7,8.7,8.7,1,,8.7,8.7,8.7,8.7,8.7
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Persons,All self employed,10.9,10.9,10.9,10.9,1,,10.9,10.9,10.9,10.9,10.9
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Persons,Casual labour,14.0,14.0,14.0,14.0,1,,14.0,14.0,14.0,14.0,14.0
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Persons,Regular wage/salary,75.2,75.2,75.2,75.2,1,,75.2,75.2,75.2,75.2,75.2
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Persons,Self-Employed helper in hoursehold enterprise,2.7,2.7,2.7,2.7,1,,2.7,2.7,2.7,2.7,2.7
India,"Agriculture Year (Jul - Jun), 2017",05-09 (mining & quarrying),Urban,Persons,"Self-Employed own account worker, employer",8.2,8.2,8.2,8.2,1,,8.2,8.2,8.2,8.2,8.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Female,All self employed,43.5,43.5,43.5,43.5,1,,43.5,43.5,43.5,43.5,43.5
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Female,Casual labour,48.3,48.3,48.3,48.3,1,,48.3,48.3,48.3,48.3,48.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Female,Regular wage/salary,8.2,8.2,8.2,8.2,1,,8.2,8.2,8.2,8.2,8.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Female,Self-Employed helper in hoursehold enterprise,9.5,9.5,9.5,9.5,1,,9.5,9.5,9.5,9.5,9.5
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Female,"Self-Employed own account worker, employer",34.1,34.1,34.1,34.1,1,,34.1,34.1,34.1,34.1,34.1
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Male,All self employed,18.8,18.8,18.8,18.8,1,,18.8,18.8,18.8,18.8,18.8
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Male,Casual labour,63.8,63.8,63.8,63.8,1,,63.8,63.8,63.8,63.8,63.8
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Male,Regular wage/salary,17.4,17.4,17.4,17.4,1,,17.4,17.4,17.4,17.4,17.4
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Male,Self-Employed helper in hoursehold enterprise,1.5,1.5,1.5,1.5,1,,1.5,1.5,1.5,1.5,1.5
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Male,"Self-Employed own account worker, employer",17.4,17.4,17.4,17.4,1,,17.4,17.4,17.4,17.4,17.4
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Persons,All self employed,22.8,22.8,22.8,22.8,1,,22.8,22.8,22.8,22.8,22.8
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Persons,Casual labour,61.3,61.3,61.3,61.3,1,,61.3,61.3,61.3,61.3,61.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Persons,Regular wage/salary,15.9,15.9,15.9,15.9,1,,15.9,15.9,15.9,15.9,15.9
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Persons,Self-Employed helper in hoursehold enterprise,2.7,2.7,2.7,2.7,1,,2.7,2.7,2.7,2.7,2.7
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural,Persons,"Self-Employed own account worker, employer",20.0,20.0,20.0,20.0,1,,20.0,20.0,20.0,20.0,20.0
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Female,All self employed,47.2,47.2,47.2,47.2,1,,47.2,47.2,47.2,47.2,47.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Female,Casual labour,37.7,37.7,37.7,37.7,1,,37.7,37.7,37.7,37.7,37.7
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Female,Regular wage/salary,15.0,15.0,15.0,15.0,1,,15.0,15.0,15.0,15.0,15.0
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,11.4,11.4,11.4,11.4,1,,11.4,11.4,11.4,11.4,11.4
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Female,"Self-Employed own account worker, employer",35.9,35.9,35.9,35.9,1,,35.9,35.9,35.9,35.9,35.9
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Male,All self employed,22.0,22.0,22.0,22.0,1,,22.0,22.0,22.0,22.0,22.0
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Male,Casual labour,50.3,50.3,50.3,50.3,1,,50.3,50.3,50.3,50.3,50.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Male,Regular wage/salary,27.7,27.7,27.7,27.7,1,,27.7,27.7,27.7,27.7,27.7
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,2.3,2.3,2.3,2.3,1,,2.3,2.3,2.3,2.3,2.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Male,"Self-Employed own account worker, employer",19.7,19.7,19.7,19.7,1,,19.7,19.7,19.7,19.7,19.7
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Persons,All self employed,26.2,26.2,26.2,26.2,1,,26.2,26.2,26.2,26.2,26.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Persons,Casual labour,48.2,48.2,48.2,48.2,1,,48.2,48.2,48.2,48.2,48.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Persons,Regular wage/salary,25.6,25.6,25.6,25.6,1,,25.6,25.6,25.6,25.6,25.6
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,3.8,3.8,3.8,3.8,1,,3.8,3.8,3.8,3.8,3.8
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Rural+Urban,Persons,"Self-Employed own account worker, employer",22.4,22.4,22.4,22.4,1,,22.4,22.4,22.4,22.4,22.4
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Female,All self employed,52.2,52.2,52.2,52.2,1,,52.2,52.2,52.2,52.2,52.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Female,Casual labour,23.5,23.5,23.5,23.5,1,,23.5,23.5,23.5,23.5,23.5
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Female,Regular wage/salary,24.3,24.3,24.3,24.3,1,,24.3,24.3,24.3,24.3,24.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Female,Self-Employed helper in hoursehold enterprise,13.9,13.9,13.9,13.9,1,,13.9,13.9,13.9,13.9,13.9
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Female,"Self-Employed own account worker, employer",38.3,38.3,38.3,38.3,1,,38.3,38.3,38.3,38.3,38.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Male,All self employed,26.9,26.9,26.9,26.9,1,,26.9,26.9,26.9,26.9,26.9
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Male,Casual labour,29.9,29.9,29.9,29.9,1,,29.9,29.9,29.9,29.9,29.9
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Male,Regular wage/salary,43.2,43.2,43.2,43.2,1,,43.2,43.2,43.2,43.2,43.2
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Male,Self-Employed helper in hoursehold enterprise,3.6,3.6,3.6,3.6,1,,3.6,3.6,3.6,3.6,3.6
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Male,"Self-Employed own account worker, employer",23.3,23.3,23.3,23.3,1,,23.3,23.3,23.3,23.3,23.3
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Persons,All self employed,31.4,31.4,31.4,31.4,1,,31.4,31.4,31.4,31.4,31.4
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Persons,Casual labour,28.8,28.8,28.8,28.8,1,,28.8,28.8,28.8,28.8,28.8
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Persons,Regular wage/salary,39.9,39.9,39.9,39.9,1,,39.9,39.9,39.9,39.9,39.9
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Persons,Self-Employed helper in hoursehold enterprise,5.4,5.4,5.4,5.4,1,,5.4,5.4,5.4,5.4,5.4
India,"Agriculture Year (Jul - Jun), 2017",05-43 (secondary),Urban,Persons,"Self-Employed own account worker, employer",25.9,25.9,25.9,25.9,1,,25.9,25.9,25.9,25.9,25.9
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Female,All self employed,72.8,72.8,72.8,72.8,1,,72.8,72.8,72.8,72.8,72.8
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Female,Casual labour,14.8,14.8,14.8,14.8,1,,14.8,14.8,14.8,14.8,14.8
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Female,Regular wage/salary,12.4,12.4,12.4,12.4,1,,12.4,12.4,12.4,12.4,12.4
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Female,Self-Employed helper in hoursehold enterprise,15.8,15.8,15.8,15.8,1,,15.8,15.8,15.8,15.8,15.8
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Female,"Self-Employed own account worker, employer",57.0,57.0,57.0,57.0,1,,57.0,57.0,57.0,57.0,57.0
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Male,All self employed,37.2,37.2,37.2,37.2,1,,37.2,37.2,37.2,37.2,37.2
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Male,Casual labour,23.9,23.9,23.9,23.9,1,,23.9,23.9,23.9,23.9,23.9
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Male,Regular wage/salary,39.0,39.0,39.0,39.0,1,,39.0,39.0,39.0,39.0,39.0
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Male,Self-Employed helper in hoursehold enterprise,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Male,"Self-Employed own account worker, employer",33.2,33.2,33.2,33.2,1,,33.2,33.2,33.2,33.2,33.2
India,"Agriculture Year (Jul - Jun), 2017",10-33 (manufacturing),Rural,Persons,All self employed,46.2,46.2,46.2,46.2,1,,46.2,46.2,46.2,46.2,46.2
